         3538 function calls (3421 primitive calls) in 0.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/2    0.000    0.000    0.040    0.020 /usr/local/lib/python3.8/site-packages/django/db/models/manager.py:85(manager_method)
        2    0.000    0.000    0.040    0.020 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:651(create)
        2    0.000    0.000    0.040    0.020 /usr/local/lib/python3.8/site-packages/django/db/models/base.py:767(save)
        2    0.000    0.000    0.040    0.020 /usr/local/lib/python3.8/site-packages/django/db/models/base.py:835(save_base)
        4    0.000    0.000    0.034    0.008 /usr/local/lib/python3.8/site-packages/django/db/backends/utils.py:66(execute)
        4    0.000    0.000    0.034    0.008 /usr/local/lib/python3.8/site-packages/django/db/backends/utils.py:76(_execute_with_wrappers)
        4    0.000    0.000    0.034    0.008 /usr/local/lib/python3.8/site-packages/django/db/backends/utils.py:82(_execute)
        4    0.000    0.000    0.033    0.008 /usr/local/lib/python3.8/site-packages/psycopg/cursor.py:720(execute)
        4    0.000    0.000    0.033    0.008 /usr/local/lib/python3.8/site-packages/psycopg/connection.py:967(wait)
        4    0.000    0.000    0.033    0.008 /usr/local/lib/python3.8/site-packages/psycopg/waiting.py:322(wait_poll)
        5    0.030    0.006    0.030    0.006 {method 'poll' of 'select.poll' objects}
        2    0.000    0.000    0.024    0.012 /usr/local/lib/python3.8/site-packages/django/db/models/base.py:938(_save_table)
        2    0.000    0.000    0.024    0.012 /usr/local/lib/python3.8/site-packages/django/db/models/base.py:1056(_do_insert)
        2    0.000    0.000    0.024    0.012 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:1780(_insert)
        2    0.000    0.000    0.023    0.012 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1812(execute_sql)
     10/8    0.000    0.000    0.016    0.002 /usr/local/lib/python3.8/site-packages/django/dispatch/dispatcher.py:152(send)
        2    0.000    0.000    0.016    0.008 /usr/local/lib/python3.8/site-packages/django/dispatch/dispatcher.py:176(<listcomp>)
        1    0.000    0.000    0.016    0.016 /usr/src/app/RobotsAPI/signals.py:8(send_email_on_post_save)
    85/49    0.000    0.000    0.014    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.014    0.007 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:379(__len__)
        2    0.000    0.000    0.014    0.007 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:1879(_fetch_all)
        3    0.000    0.000    0.014    0.005 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:85(__iter__)
        2    0.000    0.000    0.014    0.007 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1532(execute_sql)
        1    0.000    0.000    0.008    0.008 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:613(get)
        9    0.000    0.000    0.003    0.000 /usr/local/lib/python3.8/site-packages/psycopg/cursor.py:199(_execute_gen)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:725(as_sql)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:78(pre_sql_setup)
    40/26    0.000    0.000    0.002    0.000 /usr/local/lib/python3.8/site-packages/django/utils/functional.py:49(__get__)
        5    0.000    0.000    0.001    0.000 {method 'send' of 'generator' objects}
